"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG0016"	1	2	0	0	0	1	3	1	0	1	2	0	0	0	0	0	0	6	0	0	0	1	1	0	0	0	4	0	1	2	0	0	1	0	0	0	2	1	0	0	1
"KOG0017"	48	7	33	1	1	0	14	4	191	2	1	8	0	0	0	4	0	4	20	0	4	4	6	2	0	12	20	0	44	133	3	32	16	95	9	4	2	1	11	0	29
"KOG0021"	1	2	0	0	2	1	1	1	1	1	1	1	0	0	0	0	2	1	1	1	0	1	1	1	0	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1
"KOG0022"	0	3	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	2	1	1	0	0	1	1	1	1	0	0	0	1	2	1	0	0	0	0	2
"KOG0023"	2	6	0	0	0	1	0	1	1	2	3	6	0	0	0	0	0	1	0	1	2	1	7	3	0	0	1	0	1	31	0	3	2	0	1	2	3	1	0	0	6
"KOG0024"	0	2	1	0	0	0	2	1	1	6	1	0	0	1	0	3	0	3	0	1	0	3	1	1	0	0	0	0	4	7	0	0	2	3	2	1	3	0	0	0	5
"KOG0025"	1	7	0	0	2	3	1	3	5	1	3	1	0	0	0	0	1	0	1	2	4	1	1	1	0	0	0	1	1	1	0	1	2	2	1	2	1	1	0	2	0
"KOG0026"	1	2	0	0	1	1	1	1	1	1	2	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	2	0	2	1	0	0	0	2	1	1	1	0	0	0	1
"KOG0029"	6	7	0	0	1	1	0	1	3	0	4	4	0	0	0	0	2	1	1	0	0	2	2	2	0	0	8	0	0	2	1	2	2	0	1	0	2	1	3	0	2
"KOG0036"	2	4	0	0	2	2	0	2	1	1	1	2	0	0	0	0	0	5	1	1	0	3	4	2	0	0	1	0	2	0	1	1	0	1	1	1	1	4	0	1	1
"KOG0039"	2	19	0	0	5	9	1	8	4	9	7	3	0	0	0	1	1	12	0	1	4	2	9	11	0	0	1	0	8	15	0	3	5	5	2	7	8	6	0	1	6
"KOG0042"	1	2	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	2	0	1	3	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1
"KOG0047"	2	0	0	0	0	0	2	0	1	4	0	2	0	0	0	0	0	0	0	0	2	1	2	2	0	0	3	1	0	2	0	1	0	0	1	0	0	0	1	0	0
"KOG0053"	1	13	0	0	6	2	4	3	3	4	3	3	0	0	0	4	1	5	3	4	2	3	4	4	0	0	6	1	5	3	0	1	2	1	3	3	3	1	1	1	3
"KOG0054"	9	73	3	0	18	50	7	39	10	13	10	8	0	0	0	21	3	7	3	9	2	11	52	11	0	0	19	4	32	42	2	13	8	9	4	33	13	10	4	2	12
"KOG0055"	1	20	0	0	3	7	3	3	7	14	1	5	2	3	3	57	5	17	7	4	2	2	7	21	0	1	16	0	17	17	3	6	3	4	2	10	8	0	5	2	5
"KOG0056"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0
"KOG0057"	1	7	0	0	2	3	2	3	2	2	3	1	0	0	0	0	3	2	2	1	4	3	4	1	0	0	3	0	6	2	2	2	3	2	2	6	3	1	2	1	2
"KOG0058"	3	2	0	0	1	1	3	2	3	2	3	6	0	0	0	0	3	2	1	1	2	4	0	5	0	0	9	0	2	1	3	6	1	3	1	8	0	4	2	2	1
"KOG0059"	2	11	0	0	13	9	5	19	20	1	1	10	0	0	0	3	2	3	1	12	0	6	9	6	0	0	9	0	7	18	0	9	5	8	0	7	3	10	0	2	1
